键盘上的符号用英语怎么读

` backquote 反引号

~ tilde

! exclam

@ at

# numbersign,英语国家是hash，美语是pound,音乐里作sharp,如C#

$ dollar

% percent

^ caret

& ampersand

* asterisk,star(美语),数学公式中作multiply

( parenleft,opening parentheses

) parenright,closing paretheses

- minus;hyphen连字符,不读

_ underscore

+ plus

= equal

[ bracketleft,opening bracket

] bracketright,closing bracket

{ braceleft

} braceright

; semicolon

: colon

' quote

" doublequote

/ slash

\ backslash 反斜杠

| bar

, comma

< less

> greater

. period

? question

 space 空格

其他符号的读法

＜        is less than

＞        is more than

≮        is not less than 

≯        is not more than

≤        is less than or equal to 小于或等于号

-        hyphen 连字符 

≥        is more than or equal to 大于或等于号

'        apostrophe 省略号,英文中省略字符用的撇号;所有格符号

％        percent

－        dash 破折号

‰        per mille

∞        infinity 无限大号

∝        varies as 与…成比例

( )        parentheses 圆括号 

√        (square) root 平方根

[ ]        square brackets 方括号 

∵        since; because 因为

《 》        French quotes 法文引号;书名号 

∴       hence 所以

…        ellipsis 省略号

∷        equals, as (proportion) 等于，成比例

¨        tandem colon 双点号

∠        angle 角

∶        ditto 双点号

⌒        semicircle 半圆

‖        parallel 双线号

⊙        circle 圆

／        virgule 斜线号 

○        circumference 圆周

～        swung dash 代字号

△        triangle 三角形

§        section; division 分节号

⊥        perpendicular to 垂直于

→        arrow 箭号；参见号

∪        union of 并，合集

∩        intersection of 交，通集 

∫        the integral of …的积分

±        plus or minus 正负号

∑        summation of 总和

×        is multiplied by 乘号

°        degree 度

÷        is divided by 除号 

′        minute 分

″        second 秒

≠        is not equal to 不等于号 

≡        is equivalent to 全等于号 

℃        Celsius degree 摄氏度

≌        is equal to or approximately equal to 等于或约等于号
